,GPM_0,OPM_0,OPER_MARGIN_VALUE,PM_0,ROA_0,ROI_0,ROE_VALUE,ROC_0,ROCE_0,EV_1_VALUE,EV_2_VALUE,EBIT_DEFAULT,EBIT_VALUE,EBIT_VALUE_0,EBITDA_DEFAULT,EBITDA_VALUE,EBITDA_VALUE_0,EV_1_EBITDA_VALUE,EV_2_EBITDA_VALUE,EV_1_EBITDA_VALUE_0,EV_2_EBITDA_VALUE_0,EV_1_EBITDA_DEFAULT,EV_2_EBITDA_DEFAULT,EPS_VALUE,DPS_VALUE,DPS_00,DPS_02,DPS_03,DPS_10,DPS_12,DPS_13,DPS_20,DPS_22,DPS_23,PE_1_VALUE,PE_2_0_VALUE,PE_2_1_VALUE,PE_00,PE_01,PE_02,RR_0,RR_2,RR_3,DY_1_VALUE,DY_2_VALUE,DY_2_VALUE_00,DY_2_VALUE_02,DY_2_VALUE_03,DY_2_VALUE_04,DY_2_VALUE_06,DY_2_VALUE_07,DY_2_VALUE_08,DY_2_VALUE_10,DY_2_VALUE_11,DY_0,DY_0_00,DY_0_02,DY_0_03,DY_0_04,DY_0_06,DY_0_07,DY_0_08,DY_0_10,DY_0_11,Div_VALUE,Div_VALUE_1,Div_VALUE_2,PSD_0,MCAP_VALUE,BV_0,MB_0,MVPS_0,MVPS_PRICE_0,BVPS_0,SGR_0,SGR_2,SGR_3,RD_VALUE,Cur_R_VALUE,QR_1_VALUE,QR_2_VALUE,QR_VALUE,Cas_R_VALUE,NWC_VALUE,NWC_TA_VALUE,IM_VALUE,DE_VALUE,DE_VALUE_0,NE_VALUE_0,DE_DEFAULT,NE_DEFAULT,DR_VALUE,ER_VALUE,DER_VALUE,EM_VALUE,FE_VALUE,LTDR_VALUE,TIE_VALUE,CC_VALUE,DSCR_VALUE,EQUITY_MULTIPLIER,Tax_VALUE,FCF_0_VALUE,FCF_1_VALUE,FCF_2_VALUE,FCF_3_VALUE,FCF_DEFAULT,IT_VALUE,DSI_VALUE,RT_VALUE,DSR_VALUE,TOT_ASSET_TURNOVER,TATO_VALUE,CI_VALUE,FAT_VALUE,NWCT_VALUE,Open,High,Low,Close,Adj Close,Volume
GPM_0,1.0,0.09209628844339322,0.36966539514545993,-0.012908903142566232,-0.10557359876991153,-0.17134099108686485,-0.17134099108686462,-0.16506388153538917,-0.0010046772006452468,-0.41071490939080046,-0.43881115275997495,-0.2183467966195081,0.6731409603870334,-0.2753622366278785,0.6735380622436676,0.5483247800736509,0.6774124322376228,0.46782432799273266,0.4787700555403557,0.28113309947416737,0.24453602415440606,0.3588759931741401,0.3242376368173916,-0.3165624664384856,-0.4859090694643254,0.6488508157401346,0.31904014593686547,0.32143501632442895,0.6497832162394344,0.32147797182171195,0.32385895583709906,0.650122299471885,0.32385653557639377,0.3262209603987853,0.053617251435326085,0.06373118574100925,0.05882237945459633,0.054720209608702566,0.05999905052690193,0.06496258439553747,-0.703493699536354,-0.5679690736366181,-0.8117186073441042,0.39350037374913405,-0.4871217171791139,0.6432246502719791,0.08705249997378085,0.09059846960056105,0.6448912609279321,0.09116137867175585,0.09470514585265014,0.6453408166085568,0.09470152444616543,0.09823591284936767,-0.4833607868198806,0.6392867008655301,0.08969813414782503,0.09319794996326479,0.6409566830876419,0.0937622467765482,0.09725972550268477,0.641390408775275,0.0972561515215981,0.10074389735847296,0.6474623672669593,0.3201879495231631,0.32256148695951536,-0.21888544377328575,-0.3840994838825969,-0.7240372069383098,-0.1898926157985555,-0.37148372933784984,0.060974784311239,-0.6974838250594477,-0.46252037757846687,-0.1752222186649422,-0.17848359378065667,-0.31584899198468347,0.8000210056807389,0.7978189452288563,0.7936189289892426,-0.42360052769278317,0.642851998709244,-0.6945167624805131,0.7872374303119373,-0.34184293030264024,0.48317732996310264,0.2575450584722407,-0.46912334923174376,0.3501242952904669,-0.5439637029073594,-0.056901049939575996,0.7828025247487858,-0.15778313380432907,-0.7668276319759634,-0.7752004225440188,-0.23419822884748306,0.7306164263445787,0.5560261117909335,-0.2772403977678248,-0.7668276319759634,0.26533072481184894,-0.07969977266175443,-0.35571252238534096,-0.5024476384213472,-0.39495877397277995,-0.34964017468172975,-0.14647881511821104,0.23250134887129206,0.05494361166131272,-0.10459873867356748,-0.0632790197143693,0.015606933161805425,-0.07226977674919782,0.10540173398191384,-0.13265364668328558,-0.391315379450035,-0.40041649652859956,-0.3931851802263072,-0.40300739188255896,-0.40300739188255896,-0.1006595653233287
OPM_0,0.09209628844339322,1.0,0.03011387026838201,0.9355139879191646,0.19286142746228405,0.20788864044759603,0.2078886404475962,0.19765962904586556,0.13525925798770652,0.49301258577358287,0.4950276184311313,0.2203658987946209,-0.07263333605239947,0.244704742759977,0.09135982649193333,-0.03812199297099183,0.15078411689705795,-0.09428475753390438,-0.12286379896018795,-0.6820218977011357,-0.6941214992185941,-0.5250861278237661,-0.5758960310652097,0.27262236956913016,-0.2874292317993183,-0.030872586794847355,-0.2734181543476799,-0.27139338890161774,-0.03156519937526193,-0.2741959992086065,-0.27216622494653403,-0.030481969588982857,-0.27216825161298236,-0.27014034745653887,-0.547181427817312,-0.5478764499435618,-0.5495097555230748,-0.5282151847592195,-0.5308087241955876,-0.529093635642167,-0.11873832973444079,0.26358801993009157,0.06319200098944443,0.34673452797576454,-0.23655807162459935,0.04472156505910225,-0.0966997627057052,-0.09558601451673886,0.044554312097839936,-0.09777579014517082,-0.09665267160112971,0.045335632255562835,-0.09665378649981198,-0.09552880899192867,-0.2331613462922303,0.04918541808361441,-0.08521938745968703,-0.08413525613542393,0.04904223615697561,-0.08623991348139065,-0.08514697638211909,0.04981447238651823,-0.08514806161339679,-0.08405376758471289,-0.02634838135260322,-0.2644778653993382,-0.2624734512933537,0.49596565298234907,0.5071891874467582,0.3437998098944386,0.5215806365740614,0.5135324371706019,0.5804711224602831,0.3670384355257903,0.11269099366007408,0.20917556462966486,0.20754348908557138,-0.04628863343540649,-0.1606192596262948,-0.1597497910407692,-0.16514987469175438,0.08850468136610662,-0.12346551694624797,0.35848933941178646,-0.23381330380844279,-0.7510106883969568,-0.11819813731697881,-0.7092490831331624,0.4903976871111862,-0.6124045651293147,0.26976740763477697,0.5913832247088269,-0.2579730654458295,0.5830310220975166,0.27985893724696415,0.27387906715523586,0.521381898844764,0.2035083802288964,0.27961827234103176,0.1404775495500547,0.27985893724696415,-0.20513730426281768,-0.042923710752391854,0.013968810762815951,0.03320680586063509,0.22182658605784328,0.18811208846502864,-0.0665795758985676,-0.0079036794810704,-0.27470905857819516,0.5046846039624787,-0.06560191353043482,-0.22937914824155287,0.4019796330418465,-0.23733981793026876,-0.19620167625168913,0.49902666515592414,0.5004252006544432,0.5009441728018372,0.5016444784421359,0.5016444784421359,-0.006329306091458059
OPER_MARGIN_VALUE,0.36966539514545993,0.03011387026838201,1.0,0.11680560357844295,-0.8419222614392309,-0.8706749054176888,-0.8706749054176888,-0.8693130683666795,-0.877014368165246,-0.24542999386145434,-0.23812454107239472,-0.9319005377508762,0.2484620733044844,-0.9355451067845538,0.786286757960026,0.934893313338831,0.7624015577888151,0.2320768074657738,0.2208066374336942,-0.05137847641885878,-0.05122145498898508,0.00551997107878779,-0.010412878616977771,-0.8752145897718926,-0.5978480868921587,0.844287718986082,0.8743451532927322,0.8749595841429475,0.8447281664616256,0.8734225713246584,0.8740349959489644,0.8451836071104266,0.8740344041408487,0.8746264153563733,0.6160777740570935,0.6170953898634155,0.6164376958363881,0.6214100905513139,0.6218945275545288,0.6225205929116882,-0.40933433704993627,-0.21920405152921765,-0.2893275230907719,-0.22275651494195117,-0.5867109181898637,0.7584164653465659,0.7980625623280887,0.7996597014739824,0.7597753923418804,0.8004683953015405,0.8020469458404916,0.760632520169933,0.8020453370245669,0.803598561285146,-0.5857740410034038,0.7591401700299893,0.7979924013134976,0.7995282580689973,0.7605026876494979,0.8004095988191647,0.8019271077895253,0.7613395327911291,0.8019255603483997,0.8034182240481564,0.8451158627769075,0.8780063135706102,0.8785685711551524,-0.6547662616760873,-0.22701109900693667,-0.33479418091605334,-0.16986046963998883,-0.21830983885579647,0.07534380593679313,-0.31961692742621095,-0.9435986154652267,-0.8715938332468196,-0.8727187226765091,-0.9735530946102959,0.4171714456358459,0.41626166562251327,0.4172543179053121,-0.6640405179944011,0.36557186439602174,-0.38836759405835125,0.3431693296330978,-0.02343915639612836,0.2411821012639559,-0.03090169513029771,0.0051331564605513365,0.027861711455540478,-0.07452863896757671,-0.10788274443167209,0.4628039065763739,-0.1654371075722467,-0.4610949834111082,-0.328113253484216,-0.22362795890170117,0.07800851588494226,0.03603534706844927,-0.727854980096457,-0.4610949834111082,-0.23875519315983584,0.6585263888079247,-0.9485014386717159,-0.8032164824120435,-0.2814577415127533,-0.16924806530254966,-0.9406506499861436,0.9386362995844726,-0.7838235702469459,0.6754308021077705,-0.9081808052371183,-0.8336506324320104,0.760213740587197,-0.7717172603686105,-0.913134038273092,-0.23546981972426165,-0.23380696453964295,-0.2364737363524484,-0.23660385655858643,-0.23660385655858643,0.5213173233610384
PM_0,-0.012908903142566232,0.9355139879191646,0.11680560357844295,1.0,0.17918834657691624,0.19779914454407116,0.19779914454407124,0.18832523416264035,0.004184288366389033,0.475560486844802,0.4830998692659517,0.13025482763134655,-0.08403003310624688,0.17852643708566462,0.0736384834573635,-0.009981268363362595,0.14077701815169402,-0.1247722239613041,-0.15237562753865175,-0.6748802083422226,-0.6740021723479678,-0.5276796821511109,-0.5664521740203834,0.2772356082869998,-0.3461452044229048,-0.037129342866198324,-0.2782081291775554,-0.27676161873982424,-0.03819804300060309,-0.27915760065427647,-0.2777033315869969,-0.03758421278899831,-0.277704776887957,-0.2762497117067949,-0.475914922956976,-0.4773266694682741,-0.47837446661917926,-0.45889151664778977,-0.4615903004116775,-0.46047470685374753,-0.11817383226970622,0.2951744704725531,0.1449116472590853,0.27677541477927337,-0.3334569731614883,0.041197445847225775,-0.1014785648661556,-0.10098796007452235,0.04058794161173918,-0.10293543413121947,-0.1024346119047441,0.04094047856820449,-0.10243509395243741,-0.10193097446697652,-0.3308806548887558,0.04476492296227848,-0.09211214358469982,-0.09164341984591134,0.04417870743938206,-0.09351460903482053,-0.09303615390802514,0.044522618487135596,-0.0930366141863283,-0.09255523948672997,-0.03327405512527278,-0.2706202291388112,-0.2691902904664546,0.4623916266895781,0.4856910320504377,0.3879768115155646,0.46206033012366704,0.4901760912409983,0.5043605773975707,0.4053933733921475,0.101945367354833,0.1994621446109998,0.1985126000786275,-0.08665295256088891,-0.2234376737072269,-0.22397451876564534,-0.22958110070276116,0.04100913055075267,-0.1405070093142644,0.3584250942552215,-0.31315413914323637,-0.6497098084959352,-0.14747412440093324,-0.6885642887587997,0.5217884682510552,-0.6002768588577182,0.3135501249554597,0.541839638823505,-0.2750552506609744,0.5391465247689221,0.2955253198117824,0.3383007665895777,0.48148102585072794,0.06426288733386368,0.18672604901344617,0.01776789728129266,0.2955253198117824,-0.5353334395013717,0.1885472032774373,0.0045899972755143,0.1403160022765107,0.4335874493702938,0.4129882196121856,-0.1491413400954153,0.08977747424507229,-0.3617258411984762,0.5596186686312705,-0.16658733048888943,-0.3259148516270494,0.4726499380649627,-0.35903361162811903,-0.2570240283119508,0.4789363143928205,0.48181727922492695,0.4797496719113857,0.482674787922488,0.482674787922488,0.13882719151862558
ROA_0,-0.10557359876991153,0.19286142746228405,-0.8419222614392309,0.17918834657691624,1.0,0.9945187113440511,0.9945187113440513,0.9961064630877969,0.9262749537309958,0.13770020405256006,0.13888696464532876,0.9104998156811244,0.12915343968324783,0.9244991744436655,-0.48183633576038587,-0.7205766069451955,-0.4150459537495966,-0.11161513117167092,-0.10125649271194768,0.0673271306863497,0.053742045987657944,0.08400975207105836,0.07818493899343534,0.9277760426684285,0.33051244327823875,-0.5874898995334942,-0.9253530990540142,-0.9247797976950544,-0.5882759540545116,-0.9228817273693981,-0.9223124754878008,-0.5891802185522517,-0.9223130910073201,-0.9217275195587459,-0.802849592965278,-0.8016806029937611,-0.802325832326009,-0.8057003670707162,-0.8053318193371796,-0.8046278085392644,0.07704303498383447,0.11209552310495892,0.0943608372752082,0.32557658062836625,0.2859353817690006,-0.46976767334887903,-0.9807786113139965,-0.9807751521668934,-0.47117579114654773,-0.981673985737638,-0.9816465752674584,-0.47251429051389887,-0.9816466055403726,-0.9815925856272157,0.2857015658020686,-0.47317337525929315,-0.9774710489321244,-0.9774190902053516,-0.4745758168156337,-0.978405565531523,-0.9783300703023723,-0.47589756634925817,-0.978330148388286,-0.9782288959929917,-0.5890674132067698,-0.9283317474984633,-0.9277073841994341,0.7425805417709139,0.1304889289690944,0.16732166803251158,0.0909980522759353,0.12705831024878794,0.017849623994956192,0.16218233780477959,0.8442955027491763,0.9937232890063269,0.9933403662694301,0.91135401933373,-0.1930127778175338,-0.19729919510913624,-0.20508973031053157,0.46698942231342944,-0.1454542189255963,0.18362122448585871,-0.16524237949384926,-0.21005756227002284,-0.11900463501427419,0.026153392480213006,-0.07176177559040656,0.03381867279206377,-0.06614218016695526,0.1600071433695489,-0.2253802018464053,0.18149540235697054,0.23346860519118925,0.14955822026188575,0.20939843790944612,0.1923624403625724,0.18861385636651734,0.6179320404670624,0.23346860519118925,-0.053943021160873475,-0.5155782612898857,0.9103475767973187,0.7584177094832825,0.4523628010658565,0.3513027624653311,0.9273264716025226,-0.9084748223218375,0.809637020441587,-0.65438989818429,0.9178642549708835,0.8360801004587433,-0.7321614070057856,0.7868188413485293,0.8841977120313154,0.13511359684660437,0.13228568343983999,0.1334576537872523,0.13294041103888396,0.13294041103888396,-0.3653924765448294
ROI_0,-0.17134099108686485,0.20788864044759603,-0.8706749054176888,0.19779914454407116,0.9945187113440511,1.0,1.0000000000000002,0.9995642100790406,0.9156812735098344,0.20955628411848584,0.21124024091378488,0.935687112737779,0.05805705773726073,0.9538650908910208,-0.5502910086737147,-0.7776606714935448,-0.48493963011905733,-0.14539734029727158,-0.13733907444922225,0.021271368416537192,0.005349552794905327,0.03848272606196305,0.02828353141537326,0.9606740732886541,0.3671129203378386,-0.6526941836662378,-0.9588425634972279,-0.958483956305731,-0.6537262972487564,-0.9569568474149872,-0.9565997128492494,-0.6545997125170866,-0.9566001077559194,-0.9562249865328277,-0.7931585414103829,-0.7926248413133196,-0.7930955901493194,-0.7949269687584963,-0.7950316938042771,-0.7945025912159159,0.11992804493639064,0.18068416072167723,0.1689241340712164,0.3331501144662001,0.322937080987329,-0.5248868054538173,-0.9628113139667448,-0.9632160578970297,-0.5265358634095852,-0.9643995084442065,-0.9647802646603816,-0.5278547788169066,-0.9647798744547308,-0.9651335359829883,0.322774734042611,-0.5274320711832942,-0.9591987889745339,-0.9595528877518912,-0.5290742979793822,-0.9608138892690335,-0.9611444185218548,-0.5303762552574449,-0.9611440784836408,-0.9614483205584649,-0.6537582101371047,-0.9612849271288879,-0.9608755333170332,0.7822300432881488,0.20054694113643404,0.24780206504388555,0.15118338278307014,0.19624113041990918,0.04658863156474348,0.24186106938693996,0.8820896840325088,0.9999600616866118,0.9999282456750626,0.931461460832634,-0.2705661748408662,-0.2740069371653066,-0.2819149011765398,0.5186951596856472,-0.1980445358877039,0.26064467411396386,-0.24656418489449095,-0.19694230308452934,-0.15589185949637865,-0.021994345208411852,-0.03048781159694284,-0.01751125009000161,-0.027904930839694794,0.20957561135368252,-0.30834500498205797,0.23885995978894778,0.3174680884386167,0.23201774342334114,0.26841320231780624,0.12963845879331284,0.1515047746780875,0.6355029690948794,0.3174680884386167,-0.06898867531146231,-0.5066160247584505,0.9395625394477675,0.8065296892971815,0.4933876206664919,0.3894795068394325,0.9243079899423798,-0.9092438267838177,0.7764656957458861,-0.6220050961610085,0.9048153051116741,0.8104898925538996,-0.7088159308448536,0.7507748684824433,0.8784885885518993,0.20562718719650164,0.20326919996794912,0.20450256750163642,0.2043195560860967,0.2043195560860967,-0.38886481074938195
ROE_VALUE,-0.17134099108686462,0.2078886404475962,-0.8706749054176888,0.19779914454407124,0.9945187113440513,1.0000000000000002,1.0,0.9995642100790408,0.9156812735098346,0.2095562841184858,0.21124024091378485,0.9356871127377788,0.05805705773726079,0.9538650908910209,-0.5502910086737148,-0.7776606714935449,-0.48493963011905733,-0.14539734029727142,-0.13733907444922197,0.021271368416537227,0.005349552794905347,0.03848272606196308,0.028283531415373302,0.9606740732886543,0.3671129203378387,-0.6526941836662379,-0.9588425634972281,-0.9584839563057311,-0.6537262972487563,-0.9569568474149872,-0.9565997128492496,-0.6545997125170868,-0.9566001077559194,-0.956224986532828,-0.7931585414103831,-0.7926248413133197,-0.7930955901493195,-0.7949269687584966,-0.7950316938042773,-0.7945025912159162,0.11992804493639053,0.18068416072167717,0.1689241340712163,0.3331501144662001,0.32293708098732904,-0.5248868054538172,-0.9628113139667446,-0.9632160578970297,-0.5265358634095852,-0.9643995084442063,-0.9647802646603817,-0.5278547788169065,-0.9647798744547308,-0.9651335359829886,0.3227747340426111,-0.5274320711832942,-0.9591987889745339,-0.9595528877518912,-0.5290742979793821,-0.9608138892690335,-0.9611444185218552,-0.5303762552574449,-0.9611440784836411,-0.961448320558465,-0.6537582101371048,-0.9612849271288882,-0.9608755333170332,0.7822300432881487,0.20054694113643395,0.24780206504388544,0.15118338278307009,0.19624113041990912,0.04658863156474359,0.2418610693869399,0.8820896840325089,0.9999600616866118,0.9999282456750628,0.9314614608326343,-0.27056617484086604,-0.2740069371653065,-0.2819149011765396,0.5186951596856471,-0.19804453588770365,0.26064467411396375,-0.24656418489449078,-0.19694230308452965,-0.15589185949637852,-0.021994345208411845,-0.030487811596942967,-0.01751125009000156,-0.027904930839694954,0.20957561135368255,-0.3083450049820578,0.23885995978894778,0.31746808843861657,0.23201774342334103,0.26841320231780624,0.12963845879331296,0.15150477467808757,0.6355029690948794,0.31746808843861657,-0.06898867531146236,-0.5066160247584506,0.9395625394477676,0.8065296892971815,0.49338762066649183,0.38947950683943267,0.9243079899423798,-0.9092438267838178,0.7764656957458862,-0.6220050961610084,0.9048153051116742,0.8104898925538995,-0.7088159308448536,0.7507748684824436,0.878488588551899,0.20562718719650164,0.20326919996794907,0.2045025675016364,0.2043195560860967,0.2043195560860967,-0.388864810749382
ROC_0,-0.16506388153538917,0.19765962904586556,-0.8693130683666795,0.18832523416264035,0.9961064630877969,0.9995642100790406,0.9995642100790408,1.0,0.9167516609462315,0.19152726409364074,0.19260589588392169,0.9298327648692916,0.06248249131903258,0.94816002920799,-0.5468190906739924,-0.772727736700095,-0.4816429066266908,-0.14259502540979485,-0.13371551429335302,0.0331157167791324,0.01884709884523963,0.04815882880282771,0.04044337513724649,0.9544109209432902,0.3598968719301145,-0.6488046521827363,-0.9523829053793074,-0.9520291735952406,-0.6497027353294331,-0.9503019066861103,-0.9499499453990963,-0.6505839169204878,-0.9499503372945486,-0.9495804895056669,-0.794327397542881,-0.7936979773640277,-0.7941489969874266,-0.7966152401266486,-0.7966001229883379,-0.7960911995538623,0.11992039101030952,0.1623694971605547,0.15580234839722842,0.326520653360339,0.31620249774859605,-0.52645154630137,-0.9685797630254043,-0.9689665842743207,-0.5280082054006998,-0.9699836952631536,-0.9703463198225292,-0.5293378274670897,-0.9703459500439386,-0.9706813474576786,0.31603267588723366,-0.5293180558497816,-0.9654497554751357,-0.9657856466571658,-0.530869155481834,-0.966884155044228,-0.9671962619379338,-0.5321819958542586,-0.9671959425751412,-0.9674816230174543,-0.6500961834653763,-0.9551717038476685,-0.9547667716141898,0.7687198858366515,0.1824079972524334,0.23254152115242896,0.13317198806060473,0.178065021932797,0.028938593449701278,0.22607994825534755,0.8811675209591665,0.9993074595342193,0.9992643422616171,0.9314319611554235,-0.26057586489549134,-0.2641582795237092,-0.2717031738092928,0.5104935683773884,-0.19441447395760583,0.2456913390311505,-0.23369553496091774,-0.19263403345381025,-0.15191322556695125,-0.007567710763501518,-0.03655093578955695,-0.003693662170854971,-0.031000433506614865,0.18485356196623653,-0.2944868938820862,0.2138735090201749,0.3025727580799115,0.2176465264342571,0.24417777488187772,0.13248558337989466,0.15175573901380504,0.6368101163120004,0.3025727580799115,-0.06736216105780993,-0.5095401434376419,0.9364736997611915,0.8038706376270739,0.48490286488970935,0.38046234854836064,0.9276195463731634,-0.9111434178121981,0.7873833724350766,-0.6326280287906397,0.9097870325069197,0.8197890708538108,-0.7167821278108989,0.7611513335638773,0.8848810023082625,0.18761719984272102,0.18512087662656462,0.1863524256207994,0.18615068505763427,0.18615068505763427,-0.3863798746144903
ROCE_0,-0.0010046772006452468,0.13525925798770652,-0.877014368165246,0.004184288366389033,0.9262749537309958,0.9156812735098344,0.9156812735098346,0.9167516609462315,1.0,0.10754788679761847,0.10339349994094414,0.9343521544478337,0.1668785504652638,0.9057149711891235,-0.4150621763101056,-0.6866832526569064,-0.37465053492757894,-0.08341959665280542,-0.07202141075967027,0.12430902916075613,0.10210963568101823,0.11511284545293302,0.10555257780420553,0.8333576177256058,0.43478127929666516,-0.520617932582243,-0.8311449726183627,-0.8302269621515023,-0.5212367288722329,-0.8288925726471416,-0.8279816999323426,-0.5218488683738298,-0.8279826571852767,-0.8270597985667432,-0.7801190102214539,-0.7784264466150255,-0.7793525305578978,-0.7822717229266606,-0.7816557950842361,-0.7806684390041072,0.07688670465508766,0.06223994467776532,0.013299551417593411,0.32063470300805785,0.4314963203232122,-0.40692480526692204,-0.8930998667706058,-0.892517722960224,-0.4080262740707759,-0.8936832202122106,-0.8930815254531611,-0.409030478476873,-0.893082139776307,-0.8924584993903577,0.4320003351292862,-0.4093736018129497,-0.8881092886179067,-0.8874897719793092,-0.4104700983526196,-0.8887330089881422,-0.888094353097238,-0.41145834389137886,-0.8880950039604096,-0.8874352878112868,-0.5217143991371358,-0.833129563137534,-0.8321670324218499,0.6853231441575615,0.10334734481604306,0.08780373168290834,0.1033977426726521,0.10130389040621829,0.052247812531450714,0.08692587097977085,0.7716336316948414,0.914708733909937,0.9137875037319995,0.8983999792294143,-0.09875416616893774,-0.10242773373093668,-0.10882326512339484,0.45134736904498923,-0.1229290049610038,0.14478616974811803,-0.05483350163188413,-0.26179118954013164,-0.0886017785685175,0.0813249725050816,-0.1507061612477659,0.06935458049046639,-0.11492736645984084,0.14769693636068462,-0.1682952620715028,0.16259144020333618,0.17626909781896077,0.05360629487568729,0.19630717363211322,0.2942268854568922,0.21258157611824838,0.607040117789859,0.17626909781896077,0.28854080251943387,-0.732204126524878,0.8561228040896234,0.5844366108228074,0.1655646987860532,0.07330776015658949,0.9555322850919189,-0.950594275918864,0.8565351915496309,-0.7094046528316578,0.9667579398650993,0.8876213201691241,-0.790010892573031,0.8694458733270287,0.8927216784250369,0.10685769023667406,0.1027081929658578,0.10665386584668819,0.10398546360863661,0.10398546360863661,-0.47484292372283027
EV_1_VALUE,-0.41071490939080046,0.49301258577358287,-0.24542999386145434,0.475560486844802,0.13770020405256006,0.20955628411848584,0.2095562841184858,0.19152726409364074,0.10754788679761847,1.0,0.995476152512332,0.3824479132094584,-0.45140481806573135,0.39476106290625085,-0.33444077731516086,-0.39495598827150397,-0.3165777574099516,-0.3671780687181056,-0.40911112230161295,-0.7835444277736157,-0.8464499996588924,-0.7532027553866995,-0.8580243762424806,0.42765577950673467,0.012177430421746474,-0.41146387023422465,-0.43222781676736993,-0.43107989572964345,-0.41375731142498856,-0.4367515995839106,-0.43558179658583757,-0.41261749306384565,-0.43558290888252105,-0.43440959332814383,-0.09223631244661545,-0.09879816659791936,-0.09868091806525936,-0.06709585134988931,-0.07385070931352501,-0.07391657632598614,0.32483470993120933,0.7516009112156605,0.58673403252725,0.09299765206983987,0.14166852189950468,-0.2845394770661617,0.0299821153885753,0.029086126949123187,-0.286281596261374,0.025062530113077984,0.02417634077674639,-0.2856381948232725,0.02417730247761627,0.023292445747743546,0.14607989471386965,-0.27544804929182426,0.04355555985508334,0.04262756571164449,-0.27715367922636286,0.038771852559399037,0.03785301122229401,-0.2765193167879493,0.03785400380447737,0.036936301633399844,-0.40420915157839615,-0.4199411634699814,-0.4188246510762199,0.6922081404710565,0.9992137060770077,0.8988449603738511,0.960293683272005,0.9983173754426075,0.7362468089563885,0.9143966489751342,0.3192326372976483,0.21532944171252194,0.2153351961762896,0.15695902273620874,-0.7338278473752833,-0.7315815453299774,-0.7390348415750184,0.5247526212838521,-0.5177594539954381,0.8515172921487366,-0.8130659683263735,-0.15462428727004252,-0.4041369270329607,-0.800568756147074,0.5455193996575979,-0.8342031401142876,0.46756356061747384,0.6735971920440987,-0.8058980839026582,0.7367516953641731,0.8243337796081863,0.8342924069705644,0.7811027622103193,-0.3156010043623359,-0.14262431379646548,0.12255721698482405,0.8243337796081863,-0.13666009082461472,0.016218756814907843,0.2772498034485805,0.3472749003728689,0.43025102448857777,0.4165029379522335,0.02438829853723045,-0.18469603551973152,-0.22971868152950278,0.3963071229693214,-0.02296221430729164,-0.16124404341731555,0.2168645688816443,-0.22853324658387644,-0.02790252996072889,0.9996790181151812,0.99966286442293,0.9997181157446593,0.9997901915239409,0.9997901915239409,-0.17778313137392332
